country_code,feature_code,lambda_A,lambda_M,guiding_score
JPN,SH.DYN.MORT,1.0,10.0,5.949703586058764
JPN,EG.USE.PCAP.KG.OE,10.0,10.0,4.754774217215655
JPN,EN.ATM.GHGT.KT.CE,0.1,10.0,4.086666214669242
JPN,NV.AGR.TOTL.ZS,0.1,1.0,4.515648212330347
JPN,FS.AST.PRVT.GD.ZS,10.0,10.0,4.251894281888589
KOR,SP.URB.TOTL.IN.ZS,0.1,10.0,4.667019943987743
KOR,SP.RUR.TOTL.ZS,0.1,10.0,5.126263452013953
KOR,SP.DYN.LE00.MA.IN,0.1,10.0,6.10243065466981
KOR,SP.DYN.LE00.IN,0.1,0.1,6.28279187792441
KOR,NY.GDP.MKTP.CD,0.1,1.0,5.283493314714
KOR,NE.IMP.GNFS.ZS,10.0,10.0,4.3824989049626595
KOR,NE.EXP.GNFS.ZS,0.1,10.0,4.751780116707706
KOR,NY.GDP.MKTP.KD.ZG,10.0,10.0,2.56430741086933
KOR,SH.DYN.MORT,0.1,0.1,6.175000388031128
KOR,EG.USE.PCAP.KG.OE,0.1,10.0,4.878352144255996
KOR,EN.ATM.GHGT.KT.CE,0.1,10.0,5.4399236724672475
KOR,NV.AGR.TOTL.ZS,0.1,10.0,5.494475672257403
KOR,FS.AST.PRVT.GD.ZS,0.1,1.0,4.944844217712418
MEX,SP.URB.TOTL.IN.ZS,0.1,10.0,6.530433543235215
MEX,SP.RUR.TOTL.ZS,0.1,1.0,6.516776146484489
MEX,SP.DYN.LE00.MA.IN,0.1,1.0,4.950797672665345
MEX,SP.DYN.LE00.IN,0.1,10.0,3.2931301316840327
MEX,NY.GDP.MKTP.CD,0.1,10.0,4.775985888166151
MEX,NE.IMP.GNFS.ZS,10.0,0.1,5.457081000728182
MEX,NE.EXP.GNFS.ZS,1.0,10.0,5.545946284166291
MEX,NY.GDP.MKTP.KD.ZG,1.0,10.0,3.8296557082124645
MEX,SH.DYN.MORT,0.1,10.0,6.474135302426416
MEX,EG.USE.PCAP.KG.OE,0.1,10.0,3.6233269650403876
MEX,EN.ATM.GHGT.KT.CE,0.1,10.0,4.592301142882622
MEX,NV.AGR.TOTL.ZS,0.1,10.0,3.730823409479036
MEX,FS.AST.PRVT.GD.ZS,10.0,0.1,5.439052033333793
RUS,SP.URB.TOTL.IN.ZS,0.1,0.1,6.296692083094749
RUS,SP.RUR.TOTL.ZS,1.0,1.0,6.306679276956024
RUS,SP.DYN.LE00.MA.IN,10.0,10.0,6.1085819660753735
RUS,SP.DYN.LE00.IN,10.0,10.0,6.202473403109123
RUS,NY.GDP.MKTP.CD,0.1,0.1,4.582706828028803
RUS,NE.IMP.GNFS.ZS,10.0,10.0,2.642220310308275
RUS,NE.EXP.GNFS.ZS,1.0,1.0,4.076532558318143
RUS,NY.GDP.MKTP.KD.ZG,10.0,10.0,3.298028751372653
RUS,SH.DYN.MORT,0.1,10.0,6.448222161624805
RUS,EG.USE.PCAP.KG.OE,10.0,0.1,3.5625167179305084
RUS,EN.ATM.GHGT.KT.CE,10.0,0.1,3.366480606249391
RUS,NV.AGR.TOTL.ZS,10.0,10.0,4.027422317876826
RUS,FS.AST.PRVT.GD.ZS,1.0,0.1,5.711910301822164
SAU,SP.URB.TOTL.IN.ZS,0.1,10.0,6.488868539332145
SAU,SP.RUR.TOTL.ZS,0.1,10.0,6.440967850830812
SAU,SP.DYN.LE00.MA.IN,0.1,10.0,6.343062397287838
SAU,SP.DYN.LE00.IN,0.1,10.0,6.331485786534756
SAU,NY.GDP.MKTP.CD,0.1,10.0,4.831000637897031
SAU,NE.IMP.GNFS.ZS,10.0,10.0,4.473081142053265
SAU,NE.EXP.GNFS.ZS,0.1,10.0,4.973851460343511
SAU,NY.GDP.MKTP.KD.ZG,0.1,10.0,3.713841613010114
SAU,SH.DYN.MORT,0.1,10.0,6.461109920728119
SAU,EG.USE.PCAP.KG.OE,0.1,10.0,5.046948162749267
SAU,EN.ATM.GHGT.KT.CE,0.1,0.1,5.9984057777644875
SAU,NV.AGR.TOTL.ZS,0.1,10.0,2.940946742778771
SAU,FS.AST.PRVT.GD.ZS,10.0,10.0,3.4547887709181673
TUR,SP.URB.TOTL.IN.ZS,0.1,10.0,6.495724572023416
TUR,SP.RUR.TOTL.ZS,0.1,10.0,6.517285902079724
TUR,SP.DYN.LE00.MA.IN,0.1,10.0,6.4162343961828565
TUR,SP.DYN.LE00.IN,0.1,10.0,6.399202030835251
TUR,NY.GDP.MKTP.CD,0.1,10.0,4.625534235107694
TUR,NE.IMP.GNFS.ZS,10.0,10.0,3.833794157730636
TUR,NE.EXP.GNFS.ZS,0.1,10.0,4.384557608240331
TUR,NY.GDP.MKTP.KD.ZG,10.0,10.0,3.927504010242266
TUR,SH.DYN.MORT,0.1,10.0,6.504838013444877
TUR,EG.USE.PCAP.KG.OE,0.1,10.0,4.937749832477055
TUR,EN.ATM.GHGT.KT.CE,10.0,10.0,5.504431990321855
TUR,NV.AGR.TOTL.ZS,0.1,10.0,4.225261915799477
TUR,FS.AST.PRVT.GD.ZS,1.0,0.1,5.550294153870947
USA,SP.URB.TOTL.IN.ZS,0.1,10.0,6.478484677982591
USA,SP.RUR.TOTL.ZS,0.1,10.0,6.477016157526618
USA,SP.DYN.LE00.MA.IN,0.1,1.0,5.325133194377159
USA,SP.DYN.LE00.IN,0.1,1.0,5.424416655329538
USA,NY.GDP.MKTP.CD,0.1,10.0,6.157321660403434
USA,NE.IMP.GNFS.ZS,1.0,10.0,3.722012300109748
USA,NE.EXP.GNFS.ZS,1.0,10.0,4.550048118437344
USA,NY.GDP.MKTP.KD.ZG,10.0,10.0,3.590840512948003
USA,SH.DYN.MORT,0.1,10.0,6.137586975198284
USA,EG.USE.PCAP.KG.OE,0.1,10.0,4.818725338779151
USA,EN.ATM.GHGT.KT.CE,10.0,10.0,4.480056510211336
USA,NV.AGR.TOTL.ZS,0.1,10.0,3.9718406279984677
USA,FS.AST.PRVT.GD.ZS,0.1,10.0,3.3439651715132266
ZAF,SP.URB.TOTL.IN.ZS,0.1,10.0,6.511905364254462
ZAF,SP.RUR.TOTL.ZS,0.1,10.0,6.515817717583126
ZAF,SP.DYN.LE00.MA.IN,0.1,10.0,6.434991938524447
ZAF,SP.DYN.LE00.IN,0.1,10.0,6.436310358592885
ZAF,NY.GDP.MKTP.CD,0.1,10.0,4.983487896200682
ZAF,NE.IMP.GNFS.ZS,10.0,0.1,3.7969814815885976
ZAF,NE.EXP.GNFS.ZS,10.0,10.0,3.417635275343062
ZAF,NY.GDP.MKTP.KD.ZG,1.0,10.0,4.2020130085360075
ZAF,SH.DYN.MORT,1.0,1.0,6.13924603517701
ZAF,EG.USE.PCAP.KG.OE,0.1,1.0,3.8290810151797694
ZAF,EN.ATM.GHGT.KT.CE,10.0,0.1,4.514725113102543
ZAF,NV.AGR.TOTL.ZS,0.1,0.1,4.826554789920587
ZAF,FS.AST.PRVT.GD.ZS,0.1,10.0,3.4792500547557506
