country_code,year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
IND,1996,-4.242470520488887,0.8312845346051906,0.21273141816518784,-0.14271629522269602,0.41858719003037925,-0.5146443193905755,0.7998694532958753,-0.2171772548723305,-0.04071511752685604
IND,1997,-4.046610557882689,0.7851608177967351,0.10326210108695943,-0.045391419879773756,-0.22128733714307042,-0.7475874033034249,0.7525076633656907,-0.33605607932576537,0.05389670462244939
IND,1998,-4.018973008048639,0.8116940348381935,0.2248166399378431,-0.2759185675973326,0.17198457023368705,-0.6927269697893064,0.8284617266055124,-0.31332131383875916,0.06323837658811025
IND,1999,-3.915508475963246,0.8333698550683715,0.38757041392971725,-0.3281465804790476,0.70614577224942,-0.5659147255670902,0.7878048104235363,-0.29508297668767197,-0.015133415903553724
IND,2000,-3.6268547122673525,0.7421134873601591,0.30463010375158284,-0.1117356679571623,-0.21693012889865418,-0.8403560000317258,0.7098315239055468,-0.4451040725569131,0.1304797333548861
IND,2001,-3.6146282129433254,0.798461612292508,0.26924777075662465,-0.2538078933954482,-0.014141152183282504,-0.8440142132278508,0.7530173994492219,-0.44999925402561386,0.16680913492069754
IND,2002,-3.3555888358705683,0.7016035189258848,0.4300700083453088,-0.1474172275471376,-0.18529808080640478,-0.9004813951161763,0.6427058656534022,-0.519012561018436,0.2100719403770018
IND,2003,-3.35179883099,0.7351839357557326,0.6336060702951986,-0.285687887484794,0.5963232876649409,-0.7311534513201391,0.6733851856618773,-0.4334599596448106,0.0561647940701038
IND,2004,-3.056136477949804,0.6108997743021926,1.0461988019766808,-0.2649807233098375,0.5846637673550287,-0.7455992609134241,0.5814133275645654,-0.4801447681152057,0.06970366573296088
IND,2005,-2.8616175263677013,0.5553044196992659,1.3207381503520035,-0.20811414878497725,0.5760733339516931,-0.7804869531526369,0.5631617496258153,-0.5116753540430128,0.0635939666143104
IND,2006,-2.6429644595705835,0.5128555438429044,1.5539857825297965,-0.08715945476309464,0.6143794516682309,-0.7830151875821575,0.5148104870093909,-0.5322405183121671,0.009691586251413453
IND,2007,-2.489927878468675,0.5977533553170147,1.5612728986584972,0.07261837896502814,0.571674204029967,-0.830445427753518,0.5152984036479588,-0.5184557205830941,-0.06675170249791572
IND,2008,-2.152296614096683,0.4357742044507075,1.8178558485040863,0.060276616021065786,-0.3720394639181095,-1.1149325308119216,0.5738170788205931,-0.659345231518953,0.1368070955712201
IND,2009,-2.3270249342052924,0.7437000209654274,1.5730488066965265,-0.27537128625968826,0.5851854537863095,-0.9181518884431946,0.6448409922115549,-0.563464790039245,0.08222178116525608
