country_code,year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
EUU,2019,5.159104224289787,1.125330854465164,-1.2746558951007516,3.620977252809291,0.963038418869808,0.33144638179436164,1.7202209152347434,-0.49695833987905613,-2.043556105581047,-0.45402986909542853,1.675505344748492
EUU,2020,5.316559076262473,0.7838997641627137,-0.9736176985944555,3.6589031106434904,0.5668566344852248,-1.2433699783590009,2.0443490176946746,-0.5217077672344097,-1.7675827776232298,-0.010067127549921957,1.555226869769848
FRA,1960,-0.7601338345295672,-0.47922520288956943,1.4036345914330381,-0.39309697226009843,-0.6714599851637729,0.804636774788477,0.6203043780230229,0.05128523624536365,0.2329594968744836,0.30153880231874547,-0.10934061243712101
FRA,1961,-0.6721830165840355,-0.5123150940209301,1.418259835139173,-0.46890292122427835,-0.6461282867087049,0.818802586828164,0.6081747029863891,-0.002230976931633439,0.22776666301089055,0.3315179194250678,-0.14495515832110936
FRA,1962,-0.7037461303536472,-0.5856845245704618,1.3816728969977352,-0.5087661015598439,-0.6699428608190143,1.1938202965412008,0.4747404654418076,-0.04144429255168566,0.23454070825157655,0.2308964910601761,-0.10448720906538651
FRA,1963,-0.5835379611464628,-0.6122923058588573,1.3984022906054208,-0.583385161234593,-0.6427945611987806,1.07205948112611,0.4860360220696134,-0.05924635412593172,0.23745164843473845,0.2720777396752045,-0.10367014397172825
FRA,1964,-0.49098438258274557,-0.5880721818063142,1.378157245598163,-0.6519028252685976,-0.5772445737108878,1.1582287840229817,0.4425545636277313,-0.07132933252452357,0.21707687840184803,0.2662896650830291,-0.09438090630553456
FRA,1965,-0.3882467075061454,-0.6301940027689705,1.4191785024376276,-0.7035957631766661,-0.6057431848017888,0.7893544762970164,0.5291770432698909,-0.08501056424763705,0.2219380909608309,0.3344488331145153,-0.08365019456672124
FRA,1966,-0.3286392688978837,-0.6096351383064259,1.3985751854369217,-0.7544149256708789,-0.57867169313557,0.8700771907080621,0.5009237578305964,-0.09590421297279825,0.18968918893018216,0.3301126831918897,-0.061549372337865706
FRA,1967,-0.24957692225431954,-0.637246365133461,1.3989969352591745,-0.8043786460455499,-0.5732219185961899,0.7974303692808288,0.4980049509334045,-0.09507676863940061,0.19843089020555693,0.3362462541247108,-0.030430434361025625
FRA,1968,-0.17217344841190038,-0.6462032825649962,1.4015244939095384,-0.8446890677934913,-0.5530049228704199,0.7054545490509566,0.5046040135515252,-0.08741186506921567,0.2035856380285617,0.3511439119212543,-0.01003675303992463
FRA,1969,-0.14219129355993843,-0.5424592928022577,1.3069548211998099,-0.8830809617629444,-0.4030166591978903,1.2391087164259045,0.34207719117261426,-0.06867426166049645,0.17774578132489205,0.2394837064290789,0.005077388260144545
FRA,1970,-0.003992845672564953,-0.48970469490763396,1.284595300803297,-0.8986138481356456,-0.29040801392593163,1.0122823472668903,0.36205948540127303,0.04624076335718214,0.23972800845389383,0.23123478479119317,0.05033900511136953
FRA,1971,0.08379926878243765,-0.48994574687378306,1.2930054539643319,-0.9265571814635751,-0.260861757546832,0.8541540898269445,0.40665142151804473,0.057145800380195226,0.24596495789133027,0.268266575194074,0.04381157361910655
FRA,1972,0.1535795884752033,-0.5097424988649888,1.2857726224566122,-0.914102831797895,-0.26689469766862917,0.6798327685705895,0.4408874913972314,0.11855939292676758,0.2727194698551955,0.2681317344238678,0.08814704292838611
FRA,1973,0.18276884036366628,-0.48156482964531994,1.0912025566486323,-0.9361229661722059,-0.11561408919165314,1.0133208054804594,0.25940929459169254,0.16570384919692652,0.24275270360684945,0.1854386570335199,0.1146977704429936
FRA,1974,0.49208357540551884,-0.05631877550254763,1.1921308736963014,-0.8971837220623763,0.050066773340108055,0.6563814489158675,0.5709892189666038,0.3459486674945728,0.18966860848156422,0.27457041655390346,0.14999699720491055
FRA,1975,0.6022311435273704,-0.3500210812764738,1.370297900016129,-0.9503919672832049,-0.20005232279155435,-0.4323348111450306,0.9424792273609959,0.10209679129849719,0.35091117810282196,0.39462074083034226,0.10384212491285687
FRA,1976,0.6085364633254171,-0.1543451937403333,1.2958423697191295,-0.9322979158740794,-0.027055272157878132,0.6964174275491598,0.6751660820127305,0.17025664259913134,0.3133203630471933,0.137298077363579,0.14064800609409153
