country_code,year,DT.DOD.DECT.CD,DT.DOD.DECT.GN.ZS,DT.ODA.ODAT.CD,DT.ODA.ODAT.GN.ZS,EG.ELC.ACCS.ZS,EG.FEC.RNEW.ZS,EG.USE.PCAP.KG.OE,EN.ATM.GHGT.KT.CE,EN.ATM.PM25.MC.ZS,EN.POP.SLUM.UR.ZS,FS.AST.PRVT.GD.ZS,FX.OWN.TOTL.ZS,GB.XPD.RSDV.GD.ZS,GC.TAX.TOTL.GD.ZS,GC.XPN.TOTL.GD.ZS,IC.BUS.EASE.XQ,IC.BUS.NREG,IT.CEL.SETS.P2,IT.NET.USER.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NV.AGR.TOTL.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,SE.TER.ENRR,SE.XPD.TOTL.GD.ZS,SG.GEN.PARL.ZS,SH.DYN.MORT,SH.H2O.SMDW.ZS,SI.POV.GINI,SI.POV.NAHC,SL.TLF.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SP.DYN.LE00.IN,SP.DYN.LE00.MA.IN,SP.RUR.TOTL.ZS,SP.URB.TOTL.IN.ZS,TX.VAL.TECH.MF.ZS,per_allsp.adq_pop_tot,per_allsp.cov_pop_tot
ARG,2011,142884643038.3,27.7397316089295,97050003.0517578,0.0188413602753651,99.0802001953125,8.83310031890869,1952.05105293095,344800.0,99.5304130879093,,14.0087151168124,33.1302185058594,0.56597,12.6636277012315,,,5828.0,146.9554555,51.0,18.4492091453155,16.7569458546489,6.99873377022519,530163281574.658,6.00395169280579,76.2974014282227,5.29062986373901,37.3540856031128,13.9,,42.6,,41.4472656434188,6.25,75.439,71.995,9.01000000000001,90.99,7.35909450508714,29.8767149932002,42.1377265862186
ARG,2012,139877660191.7,26.2815033344271,177759994.506836,0.0333991852734491,99.2288589477539,8.61180019378662,1936.80353979442,348940.0,99.2176885641081,,15.2128150156924,,0.63491,12.9528415127413,,,4928.0,154.059023,55.8,16.2378594620246,14.2886829096862,5.7817442068501,545982375701.128,-1.0264204544321,77.4462890625,5.34582996368408,37.3540856031128,13.3,,41.3,,41.59410292636,6.08,75.598,72.151,8.879,91.121,6.67493956275073,32.7864583220457,41.0549899327029
ARG,2013,150225029637.6,27.878287954302,34729999.5422363,0.0064450839532329,99.3562240600586,8.9133996963501,1967.02167752077,358180.0,99.0264640003624,,15.7290920133564,,0.61849,12.4529027558077,,,5406.0,159.6394613,59.9,14.6171733884386,14.7167556136651,6.05291843670451,552025140252.246,2.40532378079436,78.2238998413086,5.43661022186279,36.5758754863813,12.7,,40.9,,41.4401138851693,6.12,75.756,72.306,8.751,91.249,7.4858948540141,38.150376132637,46.3608004514744
ARG,2014,153793761987.6,29.8799341576294,48790000.9155273,0.009479201211192,100.0,9.78139972686768,2029.92282543737,356100.0,98.3140640099954,16.7000007629395,13.8237692455151,50.1972961425781,0.59396,12.6109666067191,24.5697808575806,,4699.0,143.6158316,64.7,14.4054785893756,14.0013150558519,6.71270351428559,526319673731.638,-2.51261532081394,80.9958114624023,5.36144018173218,36.5758754863813,12.1,,41.6,,41.2491895648997,6.49,75.913,72.46,8.623,91.377,7.08818238468351,38.585603446258,44.69378723
ARG,2015,177184603465.6,30.4104040537488,-18870000.8392334,-0.0032386806685891,99.8116836547852,9.3931999206543,,362560.0,98.0219286945161,,14.4142330417064,,0.62262,12.3365069418291,25.0083932347048,,4958.0,143.566834,68.04306411,10.7056520504538,11.7805740385254,5.1566859021408,594749285413.212,2.73115982828944,84.0019989013672,5.77611017227173,,11.5,,,,41.6112460861779,6.84,76.068,72.614,8.497,91.503,9.28226248775552,,
ARG,2016,189331673190.7,34.7181506807966,2619999.88555908,0.0004804349387378,99.9560165405273,9.37689971923828,,366370.0,94.1394599235076,14.6999998092651,13.6676334273514,,0.55815,12.0972836411962,26.1799164832469,,5885.0,146.4538276,70.96898082,12.5270951690009,13.5667926798789,6.26456582010254,557531376217.967,-2.08032784377811,87.2134475708008,5.54548978805542,35.7976653696498,10.9,,42.0,30.3,41.9800646066168,7.12,76.221,72.768,8.373,91.627,9.02244372911048,39.5254494096802,46.77457781
ARG,2017,236963418186.1,37.7782430594292,-1169999.95708466,-0.0001865289718409,100.0,10.3684997558594,,367320.0,93.8528246666324,,15.9584973420583,48.7084884643555,0.54152,10.939623860491,24.2825320419979,,6209.0,140.8771235,74.29490687,11.3202833596733,13.9693177780045,5.23162237725058,643628665302.155,2.81850297775918,89.9585189819336,5.46223020553589,38.1322957198444,10.3,,41.1,25.7,42.3435928812376,7.53,76.372,72.924,8.251,91.749,9.24742830509615,40.437905879588,50.68987733
ARG,2018,283624190079.2,56.8376629448587,73110000.6103516,0.0146510830808076,100.0,10.5207996368408,,365650.0,,14.6999998092651,,,,10.1312463031035,23.0030544896098,,5667.0,132.0931513,,14.6198312492533,16.5551102873443,5.29647212437895,517626700412.885,-2.56535188247548,,,38.9105058365759,9.8,,41.3,32.0,43.0018553711635,8.23,76.52,73.082,8.13,91.87,5.40298404053184,39.5780983833536,50.37440371
ARG,2019,279305800305.8,65.317998465282,18250000.0,0.0042679152050773,100.0,,,,,,,,,10.6493246735121,22.1507301125766,126.0,,125.842106,,17.4397039105268,15.1879398225576,6.088397130802,445445177459.453,-2.08801486066213,,,40.1574803149606,9.3,,42.9,35.5,43.2696281048641,9.19,76.667,73.242,8.009,91.991,5.21279068012527,40.0545300501292,51.32391433
ARG,2020,,,,,,,,,,,,,,,,,,121.1703997,,16.6137220454622,13.8865054056974,6.83608019121494,383066977653.56,-9.90523485573888,,,40.8560311284047,,,,,,,,,7.889,92.111,,,
