country_code,year,SP.URB.TOTL.IN.ZS,SP.RUR.TOTL.ZS,SP.DYN.LE00.MA.IN,SP.DYN.LE00.IN,NY.GDP.MKTP.CD,NE.IMP.GNFS.ZS,NE.EXP.GNFS.ZS,NY.GDP.MKTP.KD.ZG,SH.DYN.MORT,EG.USE.PCAP.KG.OE,EN.ATM.GHGT.KT.CE,NV.AGR.TOTL.ZS,FS.AST.PRVT.GD.ZS,SE.TER.ENRR,GC.TAX.TOTL.GD.ZS
ARG,2007,90.366,9.634,71.347,74.787,287530508430.568,18.2824203070644,22.6627503115066,9.00765087504757,15.7,1858.39184324341,343550.0,7.45235394606923,13.0985413493544,66.4116287231445,12.4482684483004
ARG,2008,90.53,9.47,71.513,74.952,361558037110.419,18.341772996414,22.0609003826242,4.05723310346406,15.3,1937.64151484529,347610.0,7.3189545972436,12.313946714342,68.0569534301758,13.3178463574032
ARG,2009,90.691,9.309,71.676,75.116,332976484577.619,14.4961418494061,19.5609850560818,-5.91852507634947,14.9,1865.33735598138,328570.0,5.2736234689014,12.4162075416805,70.2064590454102,12.3830415594157
ARG,2010,90.849,9.151,71.837,75.278,423627422092.49,16.0371898581987,18.9338234053709,10.1253981561002,14.4,1928.65235658729,334590.0,7.13216745078964,12.6901062454749,73.2313995361328,12.8530426903255
ARG,2011,90.99,9.01000000000001,71.995,75.439,530163281574.658,16.7569458546489,18.4492091453155,6.00395169280579,13.9,1952.05105293095,344800.0,6.99873377022519,14.0087151168124,76.2974014282227,12.6636277012315
ARG,2012,91.121,8.879,72.151,75.598,545982375701.128,14.2886829096862,16.2378594620246,-1.0264204544321,13.3,1936.80353979442,348940.0,5.7817442068501,15.2128150156924,77.4462890625,12.9528415127413
ARG,2013,91.249,8.751,72.306,75.756,552025140252.246,14.7167556136651,14.6171733884386,2.40532378079436,12.7,1967.02167752077,358180.0,6.05291843670451,15.7290920133564,78.2238998413086,12.4529027558077
ARG,2014,91.377,8.623,72.46,75.913,526319673731.638,14.0013150558519,14.4054785893756,-2.51261532081394,12.1,2029.92282543737,356100.0,6.71270351428559,13.8237692455151,80.9958114624023,12.6109666067191
ARG,2015,91.503,8.497,72.614,76.068,594749285413.212,11.7805740385254,10.7056520504538,2.73115982828944,11.5,,362560.0,5.1566859021408,14.4142330417064,84.0019989013672,12.3365069418291
ARG,2016,91.627,8.373,72.768,76.221,557531376217.967,13.5667926798789,12.5270951690009,-2.08032784377811,10.9,,366370.0,6.26456582010254,13.6676334273514,87.2134475708008,12.0972836411962
