country_code,year,SP.URB.TOTL.IN.ZS,SP.RUR.TOTL.ZS,SP.DYN.LE00.MA.IN,SP.DYN.LE00.IN,NY.GDP.MKTP.CD,NE.IMP.GNFS.ZS,NE.EXP.GNFS.ZS,NY.GDP.MKTP.KD.ZG,SH.DYN.MORT,EG.USE.PCAP.KG.OE,EN.ATM.GHGT.KT.CE,NV.AGR.TOTL.ZS,FS.AST.PRVT.GD.ZS,SE.TER.ENRR,GC.TAX.TOTL.GD.ZS,GC.XPN.TOTL.GD.ZS,IT.CEL.SETS.P2,SL.TLF.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,IT.NET.USER.ZS,EG.FEC.RNEW.ZS,EG.ELC.ACCS.ZS,DT.ODA.ODAT.CD,DT.ODA.ODAT.GN.ZS,SE.XPD.TOTL.GD.ZS,SG.GEN.PARL.ZS,DT.DOD.DECT.CD,DT.DOD.DECT.GN.ZS,GB.XPD.RSDV.GD.ZS,SI.POV.GINI
JPN,2013,91.226,8.774,80.21,83.3319512195122,5155717056270.83,18.2321241332052,15.9153981234384,2.00026784118108,2.9,3567.62935383891,1338630.0,1.10418708697322,163.218705358527,,11.5907617945814,,115.2542733,42.3534800131203,4.25,88.21942891,5.15740013122559,100.0,,,3.66538000106812,8.125,,,3.31496,32.9
JPN,2014,91.304,8.696,80.5,83.5878048780488,4850413536037.84,20.0054682452576,17.540301551347,0.374719476350435,2.8,3470.76312894811,1300990.0,1.05626649230554,163.726249134032,,11.5907617945814,,123.1631952,42.5900146188865,3.73,89.10683302,5.71990013122559,100.0,,,3.59059000015259,8.125,,,3.40022,32.9
JPN,2015,91.381,8.619,80.75,83.7939024390244,4389475622588.97,18.0300451818283,17.6109755367671,1.2229210410615,2.8,3428.55721600428,1265070.0,1.11390541063969,162.728153552719,,11.5907617945814,,125.4518632,42.801874395819,3.62,91.05802839,6.32340002059937,100.0,,,3.38838505744934,9.47368421052632,,,3.28165,32.9
JPN,2016,91.457,8.54300000000001,80.98,83.9848780487805,4922538141454.62,15.2754094393443,16.2663956864248,0.521944455486121,2.7,3428.55721600428,1257730.0,1.21336108864146,164.770626578322,,11.5907617945814,,130.5952482,43.1113624778701,3.32,93.18272128,6.35979986190796,100.0,,,3.18618011474609,9.47368421052632,,,3.15522,32.9
JPN,2017,91.535,8.465,81.09,84.099756097561,4866864409657.68,16.8215858877511,17.7518522711411,2.16829073737318,2.6,3428.55721600428,1235370.0,1.2120409439576,169.814327747302,,11.5907617945814,,135.5186644,43.5031732373441,2.93,91.72654724,6.97450017929077,100.0,,,3.18217992782593,10.1075268817204,,,3.21254,32.9
JPN,2018,91.616,8.384,81.25,84.2109756097561,4954806619995.19,18.2915985454891,18.524908818909,0.323207337906922,2.5,3428.55721600428,1186770.0,1.23936829849824,169.959232388182,,11.5907617945814,,141.4069924,43.9371609906954,2.57,91.28,7.38770008087158,100.0,,,3.18217992782593,10.1075268817204,,,3.26451,32.9
JPN,2019,91.698,8.30200000000001,81.41,84.3563414634146,5064872875604.59,17.3790811093456,17.5501127381524,0.270308582079323,2.5,3428.55721600428,1186770.0,1.23936829849824,176.827632248853,,11.5907617945814,,147.0232275,44.255572382591,2.54,92.73039781,7.38770008087158,100.0,,,3.18217992782593,10.1075268817204,,,3.26451,32.9
JPN,2020,91.782,8.218,81.41,84.3563414634146,5064872875604.59,17.3790811093456,17.5501127381524,0.270308582079323,2.5,3428.55721600428,1186770.0,1.23936829849824,176.827632248853,,11.5907617945814,,152.0316954,44.255572382591,2.54,92.73039781,7.38770008087158,100.0,,,3.18217992782593,9.89247311827957,,,3.26451,32.9
KOR,1960,27.71,72.29,51.517,55.4155365853659,3958190758.62419,11.9787080765229,2.62146802209237,6.93599265224405,112.2,516.110749286312,88641.352,36.5604738653646,5.7432162010726,6.77976989746094,11.1535487499121,15.4884363943108,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,250710006.713867,6.27692818459188,3.41404008865356,3.01003344481605,,,2.26089,31.7
KOR,1961,28.531,71.469,52.154,56.0149756097561,2417558289.36656,13.9613510557194,4.04057144751235,6.93599265224405,106.6,516.110749286312,88641.352,38.6820908879976,12.0355331631807,6.77976989746094,11.1535487499121,15.4884363943108,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,229149993.896484,9.36219968515418,3.41404008865356,3.01003344481605,,,2.26089,31.7
